path_in_archive	size_bytes	compressed_bytes	crc32
97/diagram/10104472.json	517207	48347	05f62ceb
97/diagram/10104474.graph.json	736	277	f9e24504
97/diagram/10104474.json	3418	815	5af818d2
97/diagram/10104478.graph.json	14736	2021	948d679b
97/diagram/10104478.json	62405	6372	c03e6fbd
97/diagram/10104480.graph.json	8432	1227	58324ac9
97/diagram/10104480.json	27364	3170	9cfec7e5
97/diagram/10104482.graph.json	27108	3305	25a32fd6
97/diagram/10104482.json	121164	11528	174a3232
97/diagram/10104484.graph.json	67137	7731	2f04fa1c
97/diagram/10104484.json	139818	14353	11fa17f4
97/diagram/10104486.graph.json	74593	8136	010ddebc
97/diagram/10104486.json	235401	22529	5c63fed0
97/diagram/10104488.graph.json	1323	385	3c5c49c8
97/diagram/10104488.json	3245	724	05c437aa
97/diagram/10104490.graph.json	5592	854	d9a36ff5
97/diagram/10104490.json	24533	2628	393f53ec
97/diagram/10104492.graph.json	4164	670	9fc0f4b9
97/diagram/10104492.json	10453	1516	ca920211
97/diagram/10104494.graph.json	23545	2775	7c48e284
97/diagram/10104494.json	86765	8675	6a566fc8
97/diagram/10104496.graph.json	22366	2745	f9a91de3
97/diagram/10104496.json	76427	7669	de273dac
97/diagram/10104498.graph.json	28403	3205	4a7cd0d9
97/diagram/10104498.json	109162	10529	4b6a5a41
97/diagram/10104500.graph.json	15463	1970	949fb9eb
97/diagram/10104500.json	59693	6205	b9566479
97/diagram/10104502.graph.json	58802	6074	2529a6a9
97/diagram/10104502.json	77798	8412	8554ff61
97/diagram/10104506.graph.json	6556	1093	713ad56b
97/diagram/10104506.json	20610	2756	c4c32924
97/diagram/10104508.graph.json	1183	336	543fe1e6
97/diagram/10104508.json	8774	1324	4dc1ee0a
97/diagram/10104510.graph.json	926	293	ff661b81
97/diagram/10104510.json	3562	750	3427ff4b
97/diagram/10104514.graph.json	59912	6646	819ee94c
97/diagram/10104514.json	224983	20485	04210eef
97/diagram/10104516.graph.json	7711	1126	1c9e46a9
97/diagram/10104516.json	36791	4003	65e1955c
97/diagram/10104518.graph.json	38525	4411	75daa7e4
97/diagram/10104518.json	102806	10135	ce06d84f
97/diagram/10104520.graph.json	44883	4907	ee71118c
97/diagram/10104520.json	185113	17110	67e8ba0f
97/diagram/10104522.graph.json	16279	2075	7d194aef
97/diagram/10104522.json	61059	5995	91a737d8
97/diagram/10104524.graph.json	27481	3225	eb22ea0f
97/diagram/10104524.json	117954	11043	e6c67ec2
97/diagram/10104526.graph.json	34982	4077	ad3ff4da
97/diagram/10104526.json	130089	12745	f03089dd
97/diagram/10104530.graph.json	70484	7596	da38ecdf
97/diagram/10104530.json	315068	28248	4621ff58
97/diagram/10104532.graph.json	1328	375	4246b26c
97/diagram/10104532.json	5207	975	dd7d0e0e
97/diagram/10104534.graph.json	2106	483	3b637e05
97/diagram/10104534.json	11191	1660	38141f69
97/diagram/10104536.graph.json	4547	885	595ada28
97/diagram/10104536.json	17461	2413	a1d62b0f
97/diagram/10104538.graph.json	871	266	63b62868
97/diagram/10104538.json	2864	666	b35b8a71
97/diagram/10104540.graph.json	3254	575	68302211
97/diagram/10104540.json	8047	1272	4f6d779e
97/diagram/10104544.graph.json	25904	3126	14c96890
97/diagram/10104544.json	89721	8714	dec65885
97/diagram/10104548.graph.json	26305	3098	f02925fc
97/diagram/10104548.json	79282	8081	991016c1
97/diagram/10104550.graph.json	12066	1527	475cdc6b
97/diagram/10104550.json	37860	4024	6bc6a67f
97/diagram/10104552.graph.json	13504	1757	fe190e65
97/diagram/10104552.json	38794	4199	21394ee9
97/diagram/10104558.graph.json	59692	6200	5a010736
97/diagram/10104558.json	195011	18541	680e375b
